category_grouped,customer_state,state_share
Autres,BA,0.02835358808691072
Autres,CE,0.0012170650346220236
Autres,DF,0.01988828160492703
Autres,ES,0.0016635283513256039
Autres,GO,0.004911398148142562
Autres,MA,0.0017734850262840194
Autres,MG,0.10371297597363695
Autres,MS,0.01304246047140493
Autres,MT,0.012620130306955598
Autres,PB,0.00147890973658061
Autres,PE,0.012346973189877833
Autres,PR,0.13666770037002157
Autres,RJ,0.0952991032723951
Autres,RN,0.004348341539610648
Autres,RO,0.03504872785104536
Autres,RS,0.022813219658141832
Autres,SC,0.09228638087785548
Autres,SP,0.38093683087064567
Autres,TO,0.03159089962961645
agro_industry_and_commerce,AL,0.01937566850872999
agro_industry_and_commerce,AP,0.008390657777502177
agro_industry_and_commerce,BA,0.03182787368322201
agro_industry_and_commerce,CE,0.007964241234377646
agro_industry_and_commerce,ES,0.006215958926211181
agro_industry_and_commerce,GO,0.03180643802216728
agro_industry_and_commerce,MA,0.007842262115518563
agro_industry_and_commerce,MG,0.16155190103053216
agro_industry_and_commerce,MS,0.007581206386244837
agro_industry_and_commerce,MT,0.008120670522788979
agro_industry_and_commerce,PA,0.01642328897810207
agro_industry_and_commerce,PB,0.007608256149004384
agro_industry_and_commerce,PE,0.07768768420473761
agro_industry_and_commerce,PI,0.0054740043486321424
agro_industry_and_commerce,PR,0.06743505855954654
agro_industry_and_commerce,RJ,0.11975032048227174
agro_industry_and_commerce,RO,0.0028657437338650395
agro_industry_and_commerce,RS,0.042808801431391784
agro_industry_and_commerce,SC,0.014695038805564135
agro_industry_and_commerce,SP,0.35457492509958966
air_conditioning,AL,0.01039203382313352
air_conditioning,AM,0.0018416732354249422
air_conditioning,BA,0.01581585914516407
air_conditioning,CE,0.008670922318219702
air_conditioning,DF,0.00862831415643264
air_conditioning,ES,0.016566505207556623
air_conditioning,GO,0.01872628710541453
air_conditioning,MA,0.003594418072574611
air_conditioning,MG,0.07276392689730593
air_conditioning,MT,0.010834900474435426
air_conditioning,PA,0.018092490698831957
air_conditioning,PB,0.0014000977405408267
air_conditioning,PE,0.008765822314927254
air_conditioning,PI,0.010022440298541187
air_conditioning,PR,0.05885252346838184
air_conditioning,RJ,0.2925870191007225
air_conditioning,RS,0.02813171603080441
air_conditioning,SP,0.41431304991158807
art,AM,0.003210160362874149
art,AP,0.008065758018055204
art,BA,0.039339332854476154
art,DF,0.024237985174779923
art,ES,0.002718440827802226
art,GO,0.017942275879085846
art,MG,0.060180240521300596
art,MS,0.005359353521565036
art,MT,0.0034491169403929015
art,PA,0.008861571923628771
